label,norm,example_surface,suggested_canonical,bucket,freq
PERSON,kamasettha,Kamasettha,,likely_missing_canonical_entity,2
PERSON,kandarayana,Kandarayana,,likely_missing_canonical_entity,2
PERSON,kanha,Kanha,,likely_missing_canonical_entity,2
PERSON,kappa,Kappa,,likely_missing_canonical_entity,2
PERSON,katissabha,Katissabha,,likely_missing_canonical_entity,2
PERSON,king,King,,likely_missing_canonical_entity,2
PERSON,king of,King of,,likely_missing_canonical_entity,2
PERSON,kitagiri,Kitagiri,,likely_missing_canonical_entity,2
PERSON,koravya,Koravya,,likely_missing_canonical_entity,2
PERSON,kukkata monastery,Kukkata Monastery,,likely_missing_canonical_entity,2
PERSON,kutendu,Kutendu,,likely_missing_canonical_entity,2
PERSON,maha kappina,Ven. Maha Kappina,,likely_missing_canonical_entity,2
PERSON,mahacunda,Ven. MahaCunda,,likely_missing_canonical_entity,2
PERSON,mantani,Mantani,,likely_missing_canonical_entity,2
PERSON,maya,Maya,,likely_missing_canonical_entity,2
PERSON,migacira,Migacira,,likely_missing_canonical_entity,2
PERSON,migajala,Migajala,,likely_missing_canonical_entity,2
PERSON,miln,Miln,,likely_missing_canonical_entity,2
PERSON,moliya-phagguna,Ven.-Moliya-Phagguna,,likely_missing_canonical_entity,2
PERSON,mortality,Mortality,,likely_missing_canonical_entity,2
PERSON,muccalinda,Muccalinda,,likely_missing_canonical_entity,2
PERSON,mundika,Mundika,,likely_missing_canonical_entity,2
PERSON,nanamoli,Ñanamoli,,likely_missing_canonical_entity,2
PERSON,nighandu,Nighandu,,likely_missing_canonical_entity,2
PERSON,nikata,Nikata,,likely_missing_canonical_entity,2
PERSON,opamanna,Opamanna,,likely_missing_canonical_entity,2
PERSON,paccekabuddha,Paccekabuddha,,likely_missing_canonical_entity,2
PERSON,paharada,Paharada,,likely_missing_canonical_entity,2
PERSON,panada,Panada,,likely_missing_canonical_entity,2
PERSON,pandava,Pandava,,likely_missing_canonical_entity,2
PERSON,panthaka,Panthaka,,likely_missing_canonical_entity,2
PERSON,paritta,Paritta,,likely_missing_canonical_entity,2
PERSON,peaceful sage,Peaceful Sage,,likely_missing_canonical_entity,2
PERSON,pilotika,Pilotika,,likely_missing_canonical_entity,2
PERSON,posala,Posala,,likely_missing_canonical_entity,2
PERSON,prince udayibhadda,Prince Udayibhadda,,likely_missing_canonical_entity,2
PERSON,private buddhas,Private Buddhas,,likely_missing_canonical_entity,2
PERSON,rable bharadvaja,Venrable Bharadvaja,,likely_missing_canonical_entity,2
PERSON,raja,Raja,,likely_missing_canonical_entity,2
PERSON,sabhiya kaccana,Ven. Sabhiya Kaccana,,likely_missing_canonical_entity,2
PERSON,saccaka responded,Saccaka responded,,likely_missing_canonical_entity,2
PERSON,sadamatta,Sadamatta,,likely_missing_canonical_entity,2
PERSON,sahali,Sahali,,likely_missing_canonical_entity,2
PERSON,sahampati brahma,Sahampati Brahma,,likely_missing_canonical_entity,2
PERSON,salha,Salha,,likely_missing_canonical_entity,2
PERSON,samavati,Sāmāvatī,,likely_missing_canonical_entity,2
PERSON,sanankumara,Sanankumara,,likely_missing_canonical_entity,2
PERSON,santuttha,Santuttha,,likely_missing_canonical_entity,2
PERSON,sarabhu,Sarabhū,,likely_missing_canonical_entity,2
PERSON,sarandada,Sarandada,,likely_missing_canonical_entity,2
PERSON,sela the nun,Sela the nun,,likely_missing_canonical_entity,2
PERSON,setabya,Setabya,,likely_missing_canonical_entity,2
PERSON,sindhu,Sindhu,,likely_missing_canonical_entity,2
PERSON,sona kotikanna's,Soṇa Koṭikaṇṇa's,,likely_missing_canonical_entity,2
PERSON,sopaka,Sopaka,,likely_missing_canonical_entity,2
PERSON,strewn,Strewn,,likely_missing_canonical_entity,2
PERSON,strong,Strong,,likely_missing_canonical_entity,2
PERSON,subhuti,Ven. Subhūti,,likely_missing_canonical_entity,2
PERSON,sucitti,Sucitti,,likely_missing_canonical_entity,2
PERSON,sundara,Sundara,,likely_missing_canonical_entity,2
PERSON,sunimmita,Sunimmita,,likely_missing_canonical_entity,2
PERSON,suppavasa's,Suppavāsā's,,likely_missing_canonical_entity,2
PERSON,supremely enlightened one,Supremely Enlightened One,,likely_missing_canonical_entity,2
PERSON,sword,Sword,,likely_missing_canonical_entity,2
PERSON,taayana,Taayana,,likely_missing_canonical_entity,2
PERSON,tagarasikhin,Tagarasikhin,,likely_missing_canonical_entity,2
PERSON,tranquil sage,Tranquil Sage,,likely_missing_canonical_entity,2
PERSON,tuttha,Tuttha,,likely_missing_canonical_entity,2
PERSON,unburdened,Unburdened,,likely_missing_canonical_entity,2
PERSON,uparittha,Uparittha,,likely_missing_canonical_entity,2
PERSON,upasena vangantaputta,Ven. Upasena Vaṅgantaputta,,likely_missing_canonical_entity,2
PERSON,vasavatti mara,Vasavatti Mara,,likely_missing_canonical_entity,2
PERSON,veluvana,Veluvana,,likely_missing_canonical_entity,2
PERSON,veroca,Veroca,,likely_missing_canonical_entity,2
PERSON,years,years,,likely_missing_canonical_entity,2
GPE,abhibhu,Abhibhu,,likely_missing_canonical_entity,1
GPE,ambagama,Ambagama,,likely_missing_canonical_entity,1
GPE,ambara,Ambara,,likely_missing_canonical_entity,1
GPE,asita,Asita,,likely_missing_canonical_entity,1
GPE,asura,Asura,,likely_missing_canonical_entity,1
GPE,atuma,Atuma,,likely_missing_canonical_entity,1
GPE,elder,Elder,,likely_noise_or_bad_ner,1
GPE,haliddavasa,Haliddavasa,,likely_missing_canonical_entity,1
GPE,hurry,Hurry,,likely_missing_canonical_entity,1
GPE,jambugama,Jambugama,,likely_missing_canonical_entity,1
GPE,kitagiri,Kitagiri,,likely_missing_canonical_entity,1
GPE,natika,Ñatika,,likely_missing_canonical_entity,1
GPE,navanavati,Navanavati,,likely_missing_canonical_entity,1
GPE,oriental,Oriental,,likely_missing_canonical_entity,1
GPE,palileyyaka,Palileyyaka,,likely_missing_canonical_entity,1
GPE,pigeon,Pigeon,,likely_missing_canonical_entity,1
GPE,pindola,Pindola,,likely_missing_canonical_entity,1
