label,norm,example_surface,suggested_canonical,bucket,freq
PERSON,great seer,Great Seer,,likely_missing_canonical_entity,9
PERSON,matali,Matali,,likely_missing_canonical_entity,9
PERSON,private buddha,Private Buddha,,likely_missing_canonical_entity,9
PERSON,sangamaji,Master Saṅgāmaji,,likely_missing_canonical_entity,9
PERSON,upacala,Upacala,,likely_missing_canonical_entity,9
PERSON,uppalavanna,Uppalavanna,,likely_missing_canonical_entity,9
PERSON,vakkali,Vakkali,,likely_missing_canonical_entity,9
LOC,upavattana,Upavattana,,likely_missing_canonical_entity,8
PERSON,,Master,,likely_missing_canonical_entity,8
PERSON,aananda,Aananda,,likely_missing_canonical_entity,8
PERSON,ajatasattu,Ajatasattu,,likely_missing_canonical_entity,8
PERSON,bhaaradvaaja,Bhaaradvaaja,,likely_missing_canonical_entity,8
PERSON,bodhisatta,Bodhisatta,,likely_missing_canonical_entity,8
PERSON,ciravasi,Ciravasi,,likely_missing_canonical_entity,8
PERSON,dasama,Dasama,,likely_missing_canonical_entity,8
PERSON,elder,Elder,,likely_noise_or_bad_ner,8
PERSON,kesi,Kesi,,likely_missing_canonical_entity,8
PERSON,pataliputta,Pataliputta,,likely_missing_canonical_entity,8
PERSON,pukkusati,Pukkusati,,likely_missing_canonical_entity,8
PERSON,rammaka,Rammaka,,likely_missing_canonical_entity,8
PERSON,sisupacala,Sisupacala,,likely_missing_canonical_entity,8
PERSON,sugata,Sugata,,likely_noise_or_bad_ner,8
PERSON,sumana,Sumana,,likely_missing_canonical_entity,8
PERSON,udaayii,Udaayii,,likely_missing_canonical_entity,8
PERSON,uddaka ramaputta,Uddaka Ramaputta,,likely_missing_canonical_entity,8
PERSON,upasena,Ven. Upasena,,likely_missing_canonical_entity,8
PERSON,upasiva,Upasiva,,likely_missing_canonical_entity,8
PERSON,vajira,Vajira,,likely_missing_canonical_entity,8
PERSON,vijaya,Vijaya,,likely_missing_canonical_entity,8
LOC,ghosita's park,Ghosita's Park,,likely_missing_canonical_entity,7
LOC,squirrels' sanctuary.,Squirrels' Sanctuary.,Squirrels' Sanctuary,likely_missing_alias_for_existing,7
PERSON,awakened,Awakened,,likely_missing_canonical_entity,7
PERSON,consummate one,Consummate One,,likely_noise_or_bad_ner,7
PERSON,general vidudabha,General Vidudabha,,likely_missing_canonical_entity,7
PERSON,kaccayana,Kaccayana,,likely_missing_canonical_entity,7
PERSON,maha cunda,Ven. Maha Cunda,,likely_missing_canonical_entity,7
PERSON,medakathalika,Medakathalika,,likely_missing_canonical_entity,7
PERSON,mogharaja,Mogharaja,,likely_missing_canonical_entity,7
PERSON,nigantha,Nigantha,,likely_missing_canonical_entity,7
PERSON,one-well-gone,One-Well-Gone,Buddha,likely_missing_alias_for_existing,7
PERSON,punnika,Punnika,,likely_missing_canonical_entity,7
PERSON,ramagama,Ramagama,,likely_missing_canonical_entity,7
PERSON,saariputta,Saariputta,,likely_missing_canonical_entity,7
PERSON,saccaka the nigantha-,Saccaka the Nigaṇṭha-,,likely_missing_canonical_entity,7
PERSON,sangarava,Sangarava,,likely_missing_canonical_entity,7
PERSON,sivaka,Sivaka,,likely_missing_canonical_entity,7
PERSON,supreme buddha,Supreme Buddha,,likely_missing_canonical_entity,7
GPE,sunaparanta,Sunaparanta,,likely_missing_canonical_entity,6
