label	surface	norm	source_file	source_kind	count_hint
LOC	Bamboo Grove	bamboo grove	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Bamboo-Grove Monastery	bamboo-grove monastery	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Bandhuma	bandhuma	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Banyan Grove	banyan grove	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Banyan Park	banyan park	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Bhaggas	bhaggas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Bhanda Village	bhanda village	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Bhandagama	bhandagama	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Bhañña	bhañña	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Bhesakala	bhesakala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Bhikkhu Sangha	bhikkhu sangha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Bhoganagara	bhoganagara	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Black Rock of Isigili	black rock of isigili	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Blessed Ones	blessed ones	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Brahma	brahma	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Great Brahma	great brahma	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Brahmā	brahmā	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Brahma Harita	brahma harita	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Brahma Parisajja	brahma parisajja	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Brahma Purohita	brahma purohita	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Brahma Sahampati	brahma sahampati	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Brahma-world	brahma-world	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Brahmadatta	brahmadatta	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Brahman	brahman	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Buddha	buddha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Awakened One	awakened one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Blessed One	blessed one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Exalted One	exalted one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Fully Awakened One	fully awakened one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Fortunate One	fortunate one	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Gotama,Lord	gotama,lord	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Master	master	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	master Gotama	master gotama	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Master Gotama	master gotama	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Venerable Gotama	venerable gotama	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Tathagata	tathagata	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Tathāgata	tathāgata	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Teacher	teacher	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	the Arahant	the arahant	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	One Well-gone	one well-gone	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Gotama	gotama	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Lord	lord	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Buddha Gotama	buddha gotama	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Bhagava	bhagava	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Bhaggava	bhaggava	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Buddhas	buddhas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Bulis	bulis	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Buliyans	buliyans	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Bāhiya	bāhiya	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Calika	calika	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Campa	campa	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Candima	candima	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Capala	capala	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Ceti	ceti	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Cetis	cetis	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Chabyaputtas	chabyaputtas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Channa	channa	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Channa the Wanderer	channa the wanderer	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
PERSON	Citta	citta	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
NORP	Contented Devas	contented devas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Cool Forest	cool forest	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Cool Wood	cool wood	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Dasarahas	dasarahas	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Deer Park at Isipatana	deer park at isipatana	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
LOC	Deer Park	deer park	graph/entities/JSONL/all_nodes.jsonl	json_alias	1
NORP	Deva	deva	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
GPE	Devadaha	devadaha	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
PERSON	Devadatta	devadatta	graph/entities/JSONL/all_nodes.jsonl	json_canonical	1
