              bucket               | label  |              norm               |         example_surface         |    suggested_canonical    | freq |                                                                                                                                                   sample_refs                                                                                                                                                    
 likely_missing_canonical_entity   | PERSON | dhammika                        | Dhammika                        |                           |    2 | snp.2.14.irel.html:2
 likely_missing_canonical_entity   | PERSON | dhavajalika                     | Dhavajalika                     |                           |    3 | an08.008.than.html:1, an08.008.than.html:3
 likely_missing_canonical_entity   | PERSON | elder kondanna                  | Elder Kondañña                  |                           |    2 | thag.21.00.irel.html:10, thag.21.00.irel.html:1246
 likely_missing_canonical_entity   | PERSON | eraka                           | Eraka                           |                           |    2 | thag.01.00x.than.html:93
 likely_missing_canonical_entity   | PERSON | gandhabhaka                     | Gandhabhaka                     |                           |    2 | sn42.011.than.html:1, sn42.011.than.html:3
 likely_missing_canonical_entity   | PERSON | ghata                           | Ghata                           |                           |    2 | mn.122.than.html:2
 likely_missing_canonical_entity   | PERSON | hatthaka                        | Hatthaka                        |                           |    2 | an08.024.than.html:1, an08.024.than.html:3
 likely_missing_canonical_entity   | PERSON | hemaka                          | Hemaka                          |                           |    3 | snp.5.08.than.html:1, snp.5.08.than.html:2
 likely_missing_canonical_entity   | PERSON | honorable kondanna              | honorable Koṇḍañña              |                           |    2 | sn56.011.harv.html:20
 likely_missing_canonical_entity   | PERSON | jata bharadvaja                 | Jata Bharadvaja                 |                           |    2 | sn07.006.than.html:5, sn07.006.than.html:6
 likely_missing_canonical_entity   | PERSON | kakudha                         | Kakudha                         |                           |    2 | dn.16.1-6.vaji.html:11, dn.16.1-6.vaji.html:6
 likely_missing_canonical_entity   | PERSON | kala-khemaka                    | Kala-khemaka                    |                           |    4 | mn.122.than.html:1, mn.122.than.html:2, mn.122.than.html:3
 likely_missing_canonical_entity   | PERSON | kaligodha                       | Kaligodha                       |                           |    3 | ud.2.10.irel.html:2, ud.2.10.irel.html:3, ud.2.10.irel.html:6
 likely_missing_canonical_entity   | PERSON | kamasettha                      | Kamasettha                      |                           |    2 | dn.20.0.piya.html:30, dn.32.0.piya.html:24
 likely_missing_canonical_entity   | PERSON | kandarayana                     | Kandarayana                     |                           |    2 | an02.038.than.html:1, an02.038.than.html:4
 likely_missing_canonical_entity   | PERSON | kanha                           | Kanha                           |                           |    2 | dn.20.0.piya.html:64, mn.116.piya.html:28
 likely_missing_canonical_entity   | PERSON | kappayana                       | Kappayana                       |                           |    2 | thag.21.00.irel.html:1274, thag.21.00.irel.html:15
 likely_missing_canonical_entity   | PERSON | katissabha                      | Katissabha                      |                           |    2 | dn.16.1-6.vaji.html:12, dn.16.1-6.vaji.html:6
 likely_missing_canonical_entity   | PERSON | kinnughandu                     | Kinnughandu                     |                           |    3 | dn.20.0.piya.html:30, dn.20.0.than.html:23, dn.32.0.piya.html:24
 likely_missing_canonical_entity   | PERSON | kitagiri                        | Kitagiri                        |                           |    2 | mn.070.than.html:3
 likely_missing_canonical_entity   | PERSON | koravya                         | Koravya                         |                           |    2 | an06.054.olen.html:4, an06.054.olen.html:7
 likely_missing_canonical_entity   | PERSON | kumbhira                        | Kumbhira                        |                           |    3 | dn.20.0.piya.html:18, dn.20.0.than.html:10, dn.20.0.than.html:12
 likely_missing_canonical_entity   | PERSON | kutendu                         | Kutendu                         |                           |    2 | dn.20.0.piya.html:29, dn.20.0.than.html:18
 likely_missing_canonical_entity   | PERSON | lady vedehika                   | Lady Vedehika                   |                           |    3 | mn.021x.than.html:15, mn.021x.than.html:3, mn.021x.than.html:9
 likely_missing_canonical_entity   | PERSON | longnails                       | LongNails                       |                           |    2 | mn.074.than.html:1, mn.074.than.html:17
 likely_missing_canonical_entity   | PERSON | mahali                          | Mahali                          |                           |    4 | sn22.060.than.html:1, sn22.060.than.html:10, sn22.060.than.html:2, sn22.060.than.html:4
 likely_missing_canonical_entity   | PERSON | mantani                         | Mantani                         |                           |    2 | mn.024.than.html:3, mn.086.than.html:31
 likely_missing_canonical_entity   | PERSON | master vacchayana               | Master Vacchayana               |                           |    3 | mn.027.than.html:1, mn.027.than.html:5, mn.027.than.html:7
 likely_missing_canonical_entity   | PERSON | matanga                         | Matanga                         |                           |    4 | mn.116.piya.html:24, snp.1.03.than.html:4, snp.1.07.piya.html:22, snp.1.07.piya.html:23
 likely_missing_canonical_entity   | PERSON | maya                            | Maya                            |                           |    2 | dn.20.0.than.html:17, thig.06.06.olen.html:1
 likely_missing_canonical_entity   | PERSON | mundika                         | Mundika                         |                           |    2 | mn.078.than.html:1
 likely_missing_canonical_entity   | PERSON | nighandu                        | Nighandu                        |                           |    2 | dn.20.0.piya.html:30, dn.20.0.than.html:24
 likely_missing_canonical_entity   | PERSON | nigrodhakappa                   | Nigrodhakappa                   |                           |    2 | thag.21.00.irel.html:1264, thag.21.00.irel.html:15
 likely_missing_canonical_entity   | PERSON | nikata                          | Nikata                          |                           |    2 | dn.16.1-6.vaji.html:12, dn.16.1-6.vaji.html:6
 likely_missing_canonical_entity   | PERSON | nitha                           | Nitha                           |                           |    2 | mn.116.piya.html:17, mn.116.piya.html:19
 likely_missing_canonical_entity   | PERSON | opamanna                        | Opamanna                        |                           |    2 | dn.20.0.piya.html:30, dn.32.0.piya.html:24
 likely_missing_canonical_entity   | PERSON | paharada                        | Paharada                        |                           |    2 | dn.20.0.piya.html:38, dn.20.0.than.html:48
 likely_missing_canonical_entity   | PERSON | panada                          | Panada                          |                           |    2 | dn.20.0.piya.html:30, dn.20.0.than.html:25
 likely_missing_canonical_entity   | PERSON | pandava                         | Pandava                         |                           |    2 | snp.3.01.than.html:7, thag.01.00x.than.html:41
 likely_missing_canonical_entity   | PERSON | parileyyaka                     | Parileyyaka                     |                           |    2 | ud.4.05.irel.html:3, ud.4.05.irel.html:5
 likely_missing_canonical_entity   | PERSON | paritta                         | Paritta                         |                           |    2 | dn.32.0.piya.html:4, dn.32.0.piya.html:5
 likely_missing_canonical_entity   | PERSON | pataliputta                     | Pataliputta                     |                           |    3 | dn.16.1-6.vaji.html:28, ud.8.06.than.html:29
 likely_missing_canonical_entity   | PERSON | pilotika                        | Pilotika                        |                           |    2 | mn.027.than.html:1, mn.027.than.html:21
 likely_missing_canonical_entity   | PERSON | posala                          | Posala                          |                           |    2 | snp.5.14.than.html:1, snp.5.14.than.html:3
 likely_missing_canonical_entity   | PERSON | raja                            | Raja                            |                           |    2 | dn.32.0.piya.html:24, dn.32.0.piya.html:40
 likely_missing_canonical_entity   | PERSON | ramagama                        | Ramagama                        |                           |    5 | dn.16.1-6.vaji.html:37, dn.16.1-6.vaji.html:42, dn.16.5-6.than.html:136, dn.16.5-6.than.html:149
 likely_missing_canonical_entity   | PERSON | saavatthii the brahman          | Saavatthii the Brahman          |                           |    2 | sn46.055.wlsh.html:1, sn48.042.wlsh.html:1
 likely_missing_canonical_entity   | PERSON | sadamatta                       | Sadamatta                       |                           |    2 | dn.20.0.piya.html:54, dn.20.0.than.html:74
 likely_missing_canonical_entity   | PERSON | sahali                          | Sahali                          |                           |    2 | dn.20.0.piya.html:43, dn.20.0.than.html:55
 likely_missing_canonical_entity   | PERSON | salha                           | Salha                           |                           |    2 | an03.066.nymo.html:1, an03.066.nymo.html:2
 likely_missing_canonical_entity   | PERSON | samandakani                     | Sāmaṇḍakāni                     |                           |    2 | an10.065.niza.html:1, an10.066.niza.html:1
 likely_missing_canonical_entity   | PERSON | samavati                        | Sāmāvatī                        |                           |    2 | ud.7.10.than.html:2, ud.7.10.than.html:3
 likely_missing_canonical_entity   | PERSON | sanankumara                     | Sanankumara                     |                           |    2 | dn.20.0.piya.html:61, dn.20.0.than.html:89
 likely_missing_canonical_entity   | PERSON | sangaarava                      | Sangaarava                      |                           |    3 | sn07.021.wlsh.html:2, sn07.021.wlsh.html:8, sn46.055.wlsh.html:1
 likely_missing_canonical_entity   | PERSON | santusita                       | Santusita                       |                           |    2 | dn.11.0.than.html:108, dn.11.0.than.html:109
 likely_missing_canonical_entity   | PERSON | santuttha                       | Santuttha                       |                           |    2 | dn.16.1-6.vaji.html:12, dn.16.1-6.vaji.html:6
 likely_missing_canonical_entity   | PERSON | sesavati                        | Sesavati                        |                           |    4 | vv.3.07.irel.html:1, vv.3.07.irel.html:10, vv.3.07.irel.html:13
 likely_missing_canonical_entity   | PERSON | sigala                          | Sigala                          |                           |    4 | dn.31.0.nara.html:13, dn.31.0.nara.html:38, dn.31.0.nara.html:7, dn.31.0.nara.html:8
 likely_missing_canonical_entity   | PERSON | siha                            | Siha                            |                           |    3 | an05.034.than.html:10, an05.034.than.html:3, an05.034.than.html:8
 likely_missing_canonical_entity   | PERSON | sikhi                           | Sikhi                           |                           |    3 | dn.32.0.piya.html:1, dn.32.0.piya.html:4, mn.116.piya.html:26
 likely_missing_canonical_entity   | PERSON | sirima                          | Sirima                          |                           |    4 | vv.1.16.irel.html:1, vv.1.16.irel.html:10, vv.1.16.irel.html:5
 likely_missing_canonical_entity   | PERSON | sister sisupacala               | Sister Sisupacala               |                           |    2 | sn05.008.than.html:1, sn05.008.than.html:6
 likely_missing_canonical_entity   | PERSON | sister upacala                  | Sister Upacala                  |                           |    2 | sn05.007.than.html:1, sn05.007.than.html:6
 likely_missing_canonical_entity   | PERSON | sopaka                          | Sopaka                          |                           |    2 | snp.1.07.piya.html:22, snp.1.07.piya.html:24
 likely_missing_canonical_entity   | PERSON | sucitti                         | Sucitti                         |                           |    2 | dn.20.0.piya.html:38, dn.20.0.than.html:47
 likely_missing_canonical_entity   | PERSON | sudatta                         | Sudatta                         |                           |    3 | dn.16.1-6.vaji.html:6, dn.16.1-6.vaji.html:9, sn10.008.than.html:10
 likely_missing_canonical_entity   | PERSON | sujata                          | Sujata                          |                           |    3 | dn.16.1-6.vaji.html:10, dn.16.1-6.vaji.html:6, ud.3.07.than.html:5
 likely_missing_canonical_entity   | PERSON | sumangala                       | Sumangala                       |                           |    5 | mn.116.piya.html:24, thag.01.00x.than.html:43, thig.02.03.than.html:4
 likely_missing_canonical_entity   | PERSON | sundara                         | Sundara                         |                           |    2 | mn.116.piya.html:26, mn.116.piya.html:27
 likely_missing_canonical_entity   | PERSON | sundarika bharadvaja            | Sundarika Bharadvaja            |                           |    4 | mn.007.nypo.html:15, mn.007.nypo.html:16, mn.007.nypo.html:17, mn.007.nypo.html:19
 likely_missing_canonical_entity   | PERSON | sunimmita                       | Sunimmita                       |                           |    2 | dn.11.0.than.html:110, dn.11.0.than.html:111
 likely_missing_canonical_entity   | PERSON | supremely enlightened one       | Supremely Enlightened One       |                           |    2 | dhp.04.budd.html:1, dhp.04.budd.html:59
 likely_missing_canonical_entity   | PERSON | sutava                          | Sutava                          |                           |    2 | mn.116.piya.html:17, mn.116.piya.html:19
 likely_missing_canonical_entity   | PERSON | sutavan                         | Sutavan                         |                           |    3 | an09.007.than.html:1, an09.007.than.html:2
 likely_missing_canonical_entity   | PERSON | taayana                         | Taayana                         |                           |    2 | sn02.008.wlsh.html:8, sn02.008.wlsh.html:9
 likely_missing_canonical_entity   | PERSON | tagarasikhin                    | Tagarasikhin                    |                           |    2 | ud.5.03.than.html:10
 likely_missing_canonical_entity   | PERSON | talaputa                        | Talaputa                        |                           |    3 | sn42.002.than.html:2, sn42.002.than.html:4, sn42.002.than.html:6
 likely_missing_canonical_entity   | PERSON | tapussa                         | Tapussa                         |                           |    4 | an09.041.than.html:4, an09.041.than.html:6, an09.041.than.html:7
 likely_missing_canonical_entity   | PERSON | tatha                           | Tatha                           |                           |    3 | mn.116.piya.html:17, mn.116.piya.html:19, mn.116.piya.html:21
 likely_missing_canonical_entity   | PERSON | todeyya                         | Todeyya                         |                           |    4 | snp.5.09.than.html:1, snp.5.09.than.html:2, snp.5.09.than.html:4
 likely_missing_canonical_entity   | PERSON | todeyya's son                   | Todeyya's son                   |                           |    3 | mn.135.nymo.html:21, mn.135.than.html:1, mn.135.than.html:22
 likely_missing_canonical_entity   | PERSON | tuttha                          | Tuttha                          |                           |    2 | dn.16.1-6.vaji.html:12, dn.16.1-6.vaji.html:6
 likely_missing_canonical_entity   | PERSON | ugga                            | Ugga                            |                           |    4 | an07.007.than.html:2, an07.007.than.html:3, an07.007.than.html:5
 likely_missing_canonical_entity   | PERSON | universal seer                  | Universal Seer                  |                           |    3 | dn.01.0.bodh.html:42, dn.01.0.bodh.html:43, dn.01.0.bodh.html:44
 likely_missing_canonical_entity   | PERSON | upaka                           | Upaka                           |                           |    4 | mn.026.than.html:4, mn.026.than.html:53, mn.026.than.html:54, mn.026.than.html:56
 likely_missing_canonical_entity   | PERSON | uparittha                       | Uparittha                       |                           |    2 | mn.116.piya.html:17, mn.116.piya.html:19
 likely_missing_canonical_entity   | PERSON | upatissa                        | Upatissa                        |                           |    2 | mn.024.than.html:40, mn.116.piya.html:26
 likely_missing_canonical_entity   | PERSON | vanquisher                      | Vanquisher                      |                           |    3 | dn.01.0.bodh.html:42, dn.01.0.bodh.html:43, dn.01.0.bodh.html:44
 likely_missing_canonical_entity   | PERSON | varunas                         | Varunas                         |                           |    3 | dn.20.0.than.html:51, dn.20.0.than.html:62
 likely_missing_canonical_entity   | PERSON | vasavatti mara                  | Vasavatti Mara                  |                           |    2 | dn.20.0.piya.html:38, dn.20.0.piya.html:65
 likely_missing_canonical_entity   | PERSON | vehapphala                      | Vehapphala                      |                           |    3 | an04.123.than.html:5, an04.125.than.html:5, mn.049.than.html:25
 likely_missing_canonical_entity   | PERSON | velukandaki                     | Velukandaki                     |                           |    3 | an06.037.than.html:4
 likely_missing_canonical_entity   | PERSON | veluvana                        | Veluvana                        |                           |    2 | sn12.017x.wlsh.html:1, sn22.049.wlsh.html:1
 likely_missing_canonical_entity   | PERSON | ven. elder                      | Ven. Elder                      |                           |    3 | sn21.010.than.html:12, sn21.010.than.html:6, sn21.010.than.html:7
 likely_missing_canonical_entity   | PERSON | ven. sir                        | Ven. Sir                        |                           |    2 | sn46.014.piya.html:5, sn46.016.piya.html:6
 likely_missing_canonical_entity   | PERSON | vepacitta                       | Vepacitta                       |                           |    4 | sn02.009.piya.html:9, sn02.010.piya.html:10
 likely_missing_canonical_entity   | PERSON | verahaccaani                    | Verahaccaani                    |                           |    4 | sn35.133.wlsh.html:1, sn35.133.wlsh.html:10, sn35.133.wlsh.html:2
 likely_missing_canonical_entity   | PERSON | veroca                          | Veroca                          |                           |    2 | dn.20.0.piya.html:39, dn.20.0.than.html:51
 likely_missing_canonical_entity   | PERSON | videhi queen                    | Videhi queen                    |                           |    3 | dn.16.1-6.vaji.html:1, dn.16.1-6.vaji.html:33, dn.16.1-6.vaji.html:42
 likely_noise_or_bad_ner           | PERSON | elder                           | Elder                           |                           |    2 | sn21.010.than.html:5, sn21.010.than.html:7
