              bucket               | label  |              norm               |         example_surface         |    suggested_canonical    | freq |                                                                                                                                                   sample_refs                                                                                                                                                    
! likely_noise_or_bad_ner           | LOC    | tathagata does                  | Tathagata does                  |                           |    1 | iti.4.106-112x.irel.html:117
 ! likely_noise_or_bad_ner           | PERSON | one                             | One                             |                           |    2 | thag.21.00.irel.html:12, thag.21.00.irel.html:1252
 !  likely_missing_canonical_entity   | PERSON | verbal                          | Verbal                          |                           |    3 | dn.21.2x.than.html:21, dn.21.2x.than.html:23
 (! label creep) likely_missing_canonical_entity   | PERSON | suppavasa's                     | Suppavāsā's                     |                           |    2 | ud.2.08.than.html:7, ud.2.08.than.html:8
! (noise, but from a comment section, so who cares)  likely_missing_canonical_entity   | LOC    | khuddaka nikaya                 | Khuddaka Nikaya                 |                           |    1 | khp.1-9.than.html:1
 ! (should be PERSON) likely_missing_canonical_entity   | LOC    | pindola                         | Pindola                         |                           |    1 | mn.116.piya.html:17
 ! likely_missing_canonical_entity   | LOC    | retinue of high divinity        | Retinue of High Divinity        |                           |    1 | sn56.011.nymo.html:16
 ! (error, I updated this)likely_missing_canonical_entity   | LOC    | saavatthii a                    | Saavatthii a                    |                           |    2 | sn22.063.wlsh.html:1, sn35.120.wlsh.html:1
! ( oddballs, ignore ) likely_missing_canonical_entity   | PERSON | brahman                         | Brahman                         |                           |    3 | mn.107.horn.html:2, sn46.055.wlsh.html:11, sn46.055.wlsh.html:3
 (! should be NORP )likely_missing_canonical_entity   | PERSON | rightly self-awakened ones      | Rightly Self-awakened Ones      |                           |    3 | sn12.065.than.html:7
 ! ( label creep) likely_missing_canonical_entity   | PERSON | saccaka responded               | Saccaka responded               |                           |    2 | mn.036.than.html:12, mn.036.than.html:68


 likely_missing_alias_for_existing | LOC    | bamboo grove monastery          | Bamboo Grove Monastery          | Bamboo-Grove Monastery    |    1 | sn36.021.than.html:4
 likely_missing_alias_for_existing | LOC    | ghosita 's park                 | Ghosita 's Park                 | Ghosita's Park            |    2 | an04.159.than.html:1, sn51.015.than.html:1
 likely_missing_alias_for_existing | LOC    | jeta 's grove                   | Jeta 's Grove                   | Jeta's Grove              |    1 | sn35.101.than.html:8
 likely_missing_alias_for_existing | LOC    | maha-vana                       | Maha-vana                       | Great Forest              |    1 | dn.20.0.piya.html:2
 likely_missing_alias_for_existing | LOC    | palace of migara 's mother      | palace of Migara 's mother      | palace of Migara's mother |    2 | mn.118.than.html:1, mn.121.than.html:1
 likely_missing_alias_for_existing | LOC    | pavarika's mango grove          | Pavarika's Mango Grove          | Pavarika 's mango grove   |    1 | sn42.009.than.html:1
 likely_missing_alias_for_existing | LOC    | vultures peak                   | Vultures Peak                   | Vulture Peak Mountain     |    1 | thag.10.02.olen.html:1
 likely_missing_alias_for_existing | PERSON | mahabrahma                      | Mahabrahma                      | Maha Brahma               |    1 | dn.20.0.piya.html:62
 likely_missing_alias_for_existing | PERSON | ven.-moliya-phagguna            | Ven.-Moliya-Phagguna            | Moliya-Phagguna           |    1 | sn12.012.than.html:2
 likely_missing_canonical_entity   | GPE    | agga.lava                       | Agga.lava                       |                           |    2 | thag.21.00.irel.html:1263, thag.21.00.irel.html:15
 likely_missing_canonical_entity   | GPE    | ambara                          | Ambara                          |                           |    1 | dn.32.0.piya.html:40
 likely_missing_canonical_entity   | GPE    | gayasisa                        | Gayasisa                        |                           |    1 | sn35.028.nymo.html:1
 likely_missing_canonical_entity   | GPE    | gutijjita                       | Gutijjita                       |                           |    1 | mn.116.piya.html:22
 likely_missing_canonical_entity   | GPE    | jali                            | Jali                            |                           |    1 | mn.116.piya.html:21
 likely_missing_canonical_entity   | GPE    | kappa                           | Kappa                           |                           |    4 | thag.21.00.irel.html:1272, thag.21.00.irel.html:1273, thag.21.00.irel.html:15
 likely_missing_canonical_entity   | GPE    | licchavin                       | Licchavin                       |                           |    1 | mn.105.than.html:38
 likely_missing_canonical_entity   | GPE    | parileyyaka                     | Parileyyaka                     |                           |    4 | sn22.081.than.html:4, sn22.081.than.html:6, ud.4.05.irel.html:3
 likely_missing_canonical_entity   | GPE    | passage                         | Passage                         |                           |    1 | khp.1-9.than.html:1
 likely_missing_canonical_entity   | GPE    | pavarika                        | Pavarika                        |                           |    1 | dn.16.1-6.vaji.html:17
 likely_missing_canonical_entity   | GPE    | rahula                          | Rahula                          |                           |    1 | mn.062.than.html:1
 likely_missing_canonical_entity   | GPE    | rama                            | Rama                            |                           |    2 | mn.026.than.html:34, mn.036.than.html:32
 likely_missing_canonical_entity   | GPE    | rosika                          | Rosika                          |                           |    8 | dn.12.0.than.html:3, dn.12.0.than.html:4, dn.12.0.than.html:6, dn.12.0.than.html:7, dn.12.0.than.html:8, dn.12.0.than.html:9
 likely_missing_canonical_entity   | GPE    | sacca                           | Sacca                           |                           |    1 | mn.116.piya.html:21
 likely_missing_canonical_entity   | GPE    | savatthia                       | Savatthia                       |                           |    1 | sn44.001.than.html:1
 likely_missing_canonical_entity   | GPE    | setabya                         | Setabya                         |                           |    1 | an04.036.than.html:3
 likely_missing_canonical_entity   | GPE    | sindh                           | Sindh                           |                           |    1 | dhp.23.than.html:322
 likely_missing_canonical_entity   | GPE    | sunaparanta                     | Sunaparanta                     |                           |    7 | sn35.088.than.html:17, sn35.088.than.html:18, sn35.088.than.html:19, sn35.088.than.html:21, sn35.088.than.html:23, sn35.088.than.html:25, sn35.088.than.html:27
 likely_missing_canonical_entity   | GPE    | suttanta                        | Suttanta                        |                           |    1 | mn.008.nypo.html:8
 likely_missing_canonical_entity   | GPE    | theravada                       | Theravada                       |                           |    1 | khp.1-9.than.html:1
 likely_missing_canonical_entity   | GPE    | tusita                          | Tusita                          |                           |    1 | snp.4.16.than.html:1
 likely_missing_canonical_entity   | GPE    | vebhara                         | Vebhara                         |                           |    1 | thag.01.00x.than.html:41
 likely_missing_canonical_entity   | GPE    | vethadipa                       | Vethadipa                       |                           |    1 | dn.16.1-6.vaji.html:42
 likely_missing_canonical_entity   | GPE    | yana                            | Yana                            |                           |    1 | mn.093.than.html:9
 likely_missing_canonical_entity   | LOC    | abhassara                       | Abhassara                       |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | akanittha                       | Akanittha                       |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | ambatakavana                    | Ambāṭakavana                    |                           |    1 | sn41.005.niza.html:9
 likely_missing_canonical_entity   | LOC    | appamana subha                  | Appamana subha                  |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | appamanabha                     | Appamanabha                     |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | atappa                          | Atappa                          |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | aviha                           | Aviha                           |                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | bahumati                        | Bahumati                        |                           |    1 | mn.007.nypo.html:12
 likely_missing_canonical_entity   | LOC    | balava-abyss                    | Balava-abyss                    |                           |    1 | thag.19.00.khan.html:1
 likely_missing_canonical_entity   | LOC    | bhagalavati                     | Bhagalavati                     |                           |    1 | dn.32.0.piya.html:40
 likely_missing_canonical_entity   | LOC    | black forest                    | Black Forest                    |                           |    1 | an09.037.than.html:10
 likely_missing_canonical_entity   | LOC    | boar's cave                     | Boar's Cave                     |                           |    1 | mn.074.than.html:1
 likely_missing_canonical_entity   | LOC    | bodhi tree                      | Bodhi Tree                      |                           |    1 | ud.1.01.irel.html:3
 likely_missing_canonical_entity   | LOC    | brahma he                       | Brahmā he                       |                           |    1 | ud.7.06.than.html:1
 likely_missing_canonical_entity   | LOC    | brahma parisajja                | Brahma Parisajja                |  One of the heavens                           |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | brahma purohita                 | Brahma Purohita                 |  Heaven                         |    1 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | brick house                     | Brick House                     |                           |    2 | dn.16.1-6.vaji.html:11, dn.16.1-6.vaji.html:6
 likely_missing_canonical_entity   | LOC    | buddha-sasana                   | Buddha-sasana                   |                           |    1 | thag.19.00.khan.html:2
 likely_missing_canonical_entity   | LOC    | buffalo ground                  | Buffalo Ground                  |                           |    1 | an08.008.than.html:1
 likely_missing_canonical_entity   | LOC    | calika hill                     | Calika Hill                     |                           |    1 | ud.4.01.irel.html:2
 likely_missing_canonical_entity   | LOC    | catummaharajika                 | Catummaharajika                 |                           |    2 | sn56.011.piya.html:17
 likely_missing_canonical_entity   | LOC    | cool grove                      | Cool Grove                      |                           |    2 | sn10.008.than.html:10, sn10.008.than.html:5
 likely_missing_canonical_entity   | LOC    | dakkhinagiri                    | Dakkhinagiri                    | Monastery                          |    4 | sn07.011.piya.html:3, sn07.011.than.html:4, snp.1.04.piya.html:22, snp.1.04.than.html:4
 likely_missing_canonical_entity   | LOC    | deer park at bhesakala grove    | Deer Park at Bhesakala Grove    |                           |   10 | an04.055.than.html:2, an06.016.than.html:1, an06.016.than.html:5, an06.016.than.html:6, an06.016.than.html:7, an07.058.than.html:1, an08.030.than.html:10, an08.030.than.html:2, an08.030.than.html:3
 likely_missing_canonical_entity   | LOC    | deer park in isipatana          | Deer Park in Isipatana          |                           |    1 | mn.026.than.html:57
 likely_missing_canonical_entity   | LOC    | eastern park                    | Eastern Park                    |                           |    2 | mn.026.than.html:10, mn.026.than.html:8
 likely_missing_canonical_entity   | LOC    | forest hut                      | Forest Hut                      |                           |    1 | mn.125.horn.html:1
 likely_missing_canonical_entity   | LOC    | game refuge                     | Game Refuge                     |                           |    1 | an09.037.than.html:10
 likely_missing_canonical_entity   | LOC    | giribbaja's                     | Giribbaja's                     |                           |    1 | thag.19.00.khan.html:2
 likely_missing_canonical_entity   | LOC    | giribbaja's wilds               | Giribbaja's wilds               |                           |    1 | thag.19.00.khan.html:1
 likely_missing_canonical_entity   | LOC    | gotama ford                     | Gotama Ford                     |                           |    1 | ud.8.06.than.html:33
 likely_missing_canonical_entity   | LOC    | gotama gate                     | Gotama Gate                     |                           |    2 | ud.8.06.than.html:33, ud.8.06.than.html:34
 likely_missing_canonical_entity   | LOC    | gotama-ford                     | Gotama-ford                     |                           |    1 | dn.16.1-6.vaji.html:32
 likely_missing_canonical_entity   | LOC    | great roruva hell               | Great Roruva hell               |                           |    3 | sn03.020.than.html:7, sn03.020.than.html:8, sn03.020.than.html:9
