person_name,aliases,ref,verse_count
Anathapindika,Anāthapiṇḍika,SN 1.3,1
Anathapindika,Anāthapiṇḍika,SN 1.44,1
Anathapindika,Anāthapiṇḍika,SN 1.45,1
Anathapindika,Anāthapiṇḍika,SN 1.5,1
Anathapindika,Anāthapiṇḍika,SN 10.1,1
Anathapindika,Anāthapiṇḍika,SN 10.2,1
Anathapindika,Anāthapiṇḍika,SN 11.12,1
Anathapindika,Anāthapiṇḍika,SN 13.16,1
Anathapindika,Anāthapiṇḍika,SN 13.47,4
Anathapindika,Anāthapiṇḍika,SN 13.54,1
Anathapindika,Anāthapiṇḍika,SN 2.23,1
Anathapindika,Anāthapiṇḍika,SN 26.2,1
Anathapindika,Anāthapiṇḍika,SN 3.11,2
Anathapindika,Anāthapiṇḍika,SN 31.12,1
Anathapindika,Anāthapiṇḍika,SN 4.8,1
Anathapindika,Anāthapiṇḍika,SN 41.1,1
Anathapindika,Anāthapiṇḍika,SN 42.47,1
Anathapindika,Anāthapiṇḍika,SN 5.11,1
Anathapindika,Anāthapiṇḍika,SN 5.22,1
Anathapindika,Anāthapiṇḍika,SN 53.46,1
Anathapindika,Anāthapiṇḍika,SN 57.22,1
Anathapindika,Anāthapiṇḍika,SN 61.12,2
Anathapindika,Anāthapiṇḍika,SN 8.10,7
Anathapindika,Anāthapiṇḍika,SN 8.4,1
Anathapindika,Anāthapiṇḍika,SN 8.45,1
Anathapindika,Anāthapiṇḍika,SN 85.22,1
Anathapindika,Anāthapiṇḍika,Sn 1.6,2
Anathapindika,Anāthapiṇḍika,Sn 1.7,1
Anathapindika,Anāthapiṇḍika,Sn 2.14,1
Anathapindika,Anāthapiṇḍika,Sn 2.4,3
Anathapindika,Anāthapiṇḍika,Sn 3.3,1
Anathapindika,Anāthapiṇḍika,Ud 1.10,4
Anathapindika,Anāthapiṇḍika,Ud 1.5,1
Anathapindika,Anāthapiṇḍika,Ud 1.8,1
Anathapindika,Anāthapiṇḍika,Ud 2.2,1
Anathapindika,Anāthapiṇḍika,Ud 2.3,1
Anathapindika,Anāthapiṇḍika,Ud 2.4,1
Anathapindika,Anāthapiṇḍika,Ud 2.5,1
Anathapindika,Anāthapiṇḍika,Ud 2.6,1
Anathapindika,Anāthapiṇḍika,Ud 2.7,1
Anathapindika,Anāthapiṇḍika,Ud 3.1,2
Anathapindika,Anāthapiṇḍika,Ud 3.2,2
Anathapindika,Anāthapiṇḍika,Ud 3.3,1
Anathapindika,Anāthapiṇḍika,Ud 3.4,1
Anathapindika,Anāthapiṇḍika,Ud 3.5,1
Anathapindika,Anāthapiṇḍika,Ud 3.8,1
Anathapindika,Anāthapiṇḍika,Ud 3.9,1
Anathapindika,Anāthapiṇḍika,Ud 4.10,1
Anathapindika,Anāthapiṇḍika,Ud 4.6,1
Anathapindika,Anāthapiṇḍika,Ud 4.7,1
Anathapindika,Anāthapiṇḍika,Ud 4.8,1
Anathapindika,Anāthapiṇḍika,Ud 5.1,1
Anathapindika,Anāthapiṇḍika,Ud 5.10,1
Anathapindika,Anāthapiṇḍika,Ud 5.2,1
Anathapindika,Anāthapiṇḍika,Ud 5.4,1
Anathapindika,Anāthapiṇḍika,Ud 5.6,2
Anathapindika,Anāthapiṇḍika,Ud 5.7,1
Anathapindika,Anāthapiṇḍika,Ud 6.10,1
Anathapindika,Anāthapiṇḍika,Ud 6.3,1
Anathapindika,Anāthapiṇḍika,Ud 6.4,2
Anathapindika,Anāthapiṇḍika,Ud 6.5,1
Anathapindika,Anāthapiṇḍika,Ud 6.6,1
Anathapindika,Anāthapiṇḍika,Ud 6.7,1
Anathapindika,Anāthapiṇḍika,Ud 6.9,2
Anathapindika,Anāthapiṇḍika,Ud 7.1,1
Anathapindika,Anāthapiṇḍika,Ud 7.2,1
Anathapindika,Anāthapiṇḍika,Ud 7.3,1
Anathapindika,Anāthapiṇḍika,Ud 7.4,1
Anathapindika,Anāthapiṇḍika,Ud 7.5,2
Anathapindika,Anāthapiṇḍika,Ud 7.6,1
Anathapindika,Anāthapiṇḍika,Ud 7.7,1
Anathapindika,Anāthapiṇḍika,Ud 7.8,1
Anathapindika,Anāthapiṇḍika,Ud 8.1,2
Anathapindika,Anāthapiṇḍika,Ud 8.10,1
Anathapindika,Anāthapiṇḍika,Ud 8.2,2
Anathapindika,Anāthapiṇḍika,Ud 8.3,2
Anathapindika,Anāthapiṇḍika,Ud 8.4,2
Anathapindika,Anāthapiṇḍika,Ud 8.9,1
Andhakavinda,,AN 114.5,1
Andhakavinda,,SN 13.6,1
Angulimala,Ven. Angulimala,MN 86,23
Angulimala,Ven. Angulimala,Thag 16.8,2
Anigha,,MN 116,1
Anuradha,,SN 2.44,11
Anuradha,,SN 86.22,11
Arittha,,DN 20,1
Arittha,,DN 32,1
Arittha,,MN 116,2
Arittha,,MN 22,19
Arittha,,SN 6.54,6
Asibandhakaputta,,SN 6.42,2
Asibandhakaputta,,SN 7.42,1
Asibandhakaputta,,SN 8.42,2
Asibandhakaputta,,SN 9.42,3
Assalayana,,MN 93,29
Atthama,,MN 116,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 1.11,1
Buddha,"Awakened One|Blessed One|Exalted One|Fully Awakened One|Fortunate One|Gotama,Lord|Master|master Gotama|Master Gotama|Venerable Gotama|Tathagata|Tathāgata|Teacher|the Arahant|One Well-gone",AN 1.4,3
