?? NORP   | noble one                  | Noble One                  |    8
 PERSON | ajatasattu                 | Ajatasattu                 |    8
 PERSON | ciravasi                   | Ciravasi                   |    8
 PERSON | dasama                     | Dasama                     |    8
 PERSON | jayasena                   | Jayasena                   |    8
 PERSON | kesi                       | Kesi                       |    8
 PERSON | master bharadvaja          | Master Bharadvaja          |    8
 PERSON | nagita                     | Nagita                     |    8
 PERSON | rammaka                    | Rammaka                    |    8
 PERSON | sisupacala                 | Sisupacala                 |    8
 PERSON | sugata                     | Sugata                     |    8
 PERSON | udayi                      | Udayi                      |    8
 PERSON | uddaka ramaputta           | Uddaka Ramaputta           |    8
 PERSON | ven. bhumija               | Ven. Bhumija               |    8
 PERSON | ven. dasaka                | Ven. Dasaka                |    8
 PERSON | ven. mahaka                | Ven. Mahaka                |    8
 PERSON | ven. sangamaji             | Ven. Saṅgāmaji             |    8
 PERSON | ven. upasena               | Ven. Upasena               |    8
 PERSON | vijaya                     | Vijaya                     |    8
! GPE    | sunidha                    | Sunīdha                    |    7, Note should be PERSON
 LOC    | ghosita's park             | Ghosita's Park             |    7
 LOC    | great hell                 | Great Hell                 |    7
 LOC    | palace of migara           | palace of Migara           |    7
 LOC    | palace of migara's mother  | palace of Migara's mother  |    7
 NORP   | brahmanas                  | brahmanas                  |    7
 NORP   | deities                    | deities                    |    7
 PERSON | cundaka                    | Cundaka                    |    7
 PERSON | general vidudabha          | General Vidudabha          |    7
 PERSON | master bhumija             | Master Bhumija             |    7
 PERSON | master gavesin             | Master Gavesin             |    7
 PERSON | master moggallana          | Master Moggallana          |    7
 PERSON | medakathalika              | Medakathalika              |    7
 PERSON | nigantha                   | Nigantha                   |    7
 PERSON | patacara                   | Patacara                   |    7
 PERSON | pavittha                   | Pavittha                   |    7
! PERSON | perfect one                | Perfect One                |    7 -- less common epithet, skip
 PERSON | piyadassi                  | Piyadassi                  |    7
 PERSON | punnika                    | Punnika                    |    7
 PERSON | ratthapala's               | Ratthapala's               |    7
 PERSON | sangarava                  | Sangarava                  |    7
 PERSON | vajira                     | Vajira                     |    7
 PERSON | vangisa                    | Vangisa                    |    7
 PERSON | ven. channa                | Ven. Channa                |    7
 PERSON | ven. girimananda           | Ven. Girimananda           |    7
! GPE    | ananda                     | Ananda                     |    6 -- should be PERSON
 GPE    | kaccayana                  | Kaccayana                  |    6
 GPE    | sunaparanta                | Sunaparanta                |    6
 LOC    | bahuka river               | Bahuka River               |    6
 LOC    | ganges river               | Ganges River               |    6
 LOC    | isigili mountain           | Isigili mountain           |    6
 LOC    | wild mango grove           | Wild Mango Grove           |    6
 LOC    | yamuna                     | Yamuna                     |    6
 NORP   | bhikkhu                    | Bhikkhu                    |    6
 NORP   | nimmanarati devas          | Nimmanarati devas          |    6
 PERSON | aananda                    | Aananda                    |    6
 PERSON | anuruddha                  | Anuruddha                  |    6
 PERSON | cala                       | Cala                       |    6
 PERSON | girimananda                | Girimananda                |    6
 PERSON | great seer                 | Great Seer                 |    6
 PERSON | kaligodha's son            | Kāḷigodhā's son            |    6
 PERSON | migara                     | Migara                     |    6
 PERSON | punabbasu                  | Punabbasu                  |    6
 PERSON | rohini's father            | Rohini's father            |    6
 PERSON | sarakaani                  | Sarakaani                  |    6
 PERSON | sati, the fisherman's son  | Sāti, the Fisherman's Son  |    6
 PERSON | sivaka                     | Sivaka                     |    6
 PERSON | sudassana                  | Sudassana                  |    6
 PERSON | udaya                      | Udaya                      |    6
 PERSON | upasiva                    | Upasiva                    |    6
 PERSON | uttara                     | Uttara                     |    6
 PERSON | vakkali                    | Vakkali                    |    6
 PERSON | vasettha                   | Vasettha                   |    6
 PERSON | ven. malunkyaputta         | Ven. Malunkyaputta         |    6
 PERSON | ven. nagasamala            | Ven. Nāgasamāla            |    6
 PERSON | ven. nagita                | Ven. Nagita                |    6
 PERSON | ven. pukkusati             | Ven. Pukkusati             |    6
 PERSON | ven. tissa                 | Ven. Tissa                 |    6
 PERSON | venerable cunda            | Venerable Cunda            |    6
 PERSON | venerable girimananda      | Venerable Girimananda      |    6
 GPE    | nalaka                     | Nalaka                     |    5
 LOC    | capala shrine              | Capala shrine              |    5
 LOC    | ghosita's monastery        | Ghosita's monastery        |    5
 LOC    | kukuta river               | Kukuṭa River               |    5
 LOC    | migacira                   | Migacira                   |    5
 LOC    | sankheyyaka mountain       | Sankheyyaka Mountain       |    5
 LOC    | vultures' peak             | Vultures' Peak             |    5
 PERSON | anuraadha                  | Anuraadha                  |    5
 PERSON | asita                      | Asita                      |    5
 PERSON | bhaaradvaaja               | Bhaaradvaaja               |    5
 PERSON | bhadda                     | Bhadda                     |    5
 PERSON | dasaka                     | Dasaka                     |    5
 PERSON | devala                     | Devala                     |    5
 PERSON | enlightened one            | Enlightened One            |    5
 PERSON | fully self-enlightened one | Fully Self-Enlightened One |    5
! PERSON | kalama                     | Kalama                     |    5 -- should be NORP
 PERSON | lord gotama                | Lord Gotama                |    5
 PERSON | mahaanaama                 | Mahaanaama                 |    5
 PERSON | mogharaja                  | Mogharaja                  |    5
! PERSON | nalaka                     | Nalaka                     |    5 -- should be GPE
 PERSON | nandiya                    | Nandiya                    |    5
 PERSON | prince abhaya              | Prince Abhaya              |    5
 PERSON | saccaka the nigantha       | Saccaka the Nigantha       |    5
! PERSON | sage                       | Sage                       |    5 -- too vague, skip
 PERSON | sanjaya                    | Sañjaya                    |    5
 PERSON | sela                       | Sela                       |    5
 PERSON | supreme buddha             | Supreme Buddha             |    5
 PERSON | tathagatha                 | Tathagatha                 |    5
 PERSON | u.n.naabha                 | U.n.naabha                 |    5
 PERSON | ven. isidatta              | Ven. Isidatta              |    5
 PERSON | ven. musila                | Ven. Musila                |    5
 PERSON | ven. pilindavaccha         | Ven. Pilindavaccha         |    5
 PERSON | ven. yasoja                | Ven. Yasoja                |    5
 PERSON | venerable kamabhu          | Venerable Kāmabhū          |    5
 PERSON | venerable kondanna         | Venerable Kondañña         |    5
 PERSON | vessamitta                 | Vessamitta                 |    5
 PERSON | virulha                    | Virulha                    |    5
 GPE    | ajita                      | Ajita                      |    4
 GPE    | kala                       | Kala                       |    4
 GPE    | licchavin                  | Licchavin                  |    4
! GPE    | nagita                     | Nagita                     |    4, should be PERSON
 GPE    | parileyyaka                | Parileyyaka                |    4
! GPE    | tathagatas                 | Tathāgatas                 |    4  Should be NORP
 GPE    | thuna                      | Thuna                      |    4
 LOC    | ambapali's grove           | Ambapali's grove           |    4
 LOC    | brick hall                 | Brick Hall                 |    4
 LOC    | eastern bamboo park        | Eastern Bamboo Park        |    4
 LOC    | eastern gatehouse          | Eastern Gatehouse          |    4
 LOC    | gabled house               | Gabled House               |    4
 LOC    | kosalan brahman            | Kosalan brahman            |    4
 LOC    | mahi                       | Mahi                       |    4
 LOC    | mount meru                 | Mount Meru                 |    4
 LOC    | nimmanarati                | Nimmanarati                |    4
 LOC    | tapoda hot springs         | Tapoda Hot Springs         |    4
 LOC    | tavatimsa                  | Tavatimsa                  |    4
 NORP   | retinue of brahma          | retinue of Brahma          |    4
 PERSON | angirasa                   | Angirasa                   |    4
 PERSON | atthaka                    | Atthaka                    |    4
! PERSON | bhante                     | Bhante                     |    4 -- too vague
 PERSON | dabba mallaputta           | Dabba Mallaputta           |    4
! PERSON | deity                      | Deity                      |    4 -- should be NORP
 PERSON | ganaka-moggallana          | Ganaka-Moggallana          |    4
 PERSON | great king vessavana       | Great King Vessavana       |    4
 PERSON | great one                  | Great One                  |    4
 PERSON | greatest sage              | Greatest Sage              |    4
 PERSON | isana                      | Isana                      |    4
 PERSON | isidatta                   | Isidatta                   |    4
 PERSON | maara                      | Maara                      |    4
 PERSON | maha kotthita              | Maha Kotthita              |    4
 PERSON | matanga                    | Matanga                    |    4
