              norp              | freq 
 devas of Immeasurable Beauty   |    1
 devas of Immeasurable Radiance |    1
 devas of Limited Beauty        |    1
 devas of Limited Radiance      |    1
 devas of Streaming Radiance    |    1
 female lay disciple            |    1
 female lay-followers           |    1
 forty                          |    1
 four great Kings               |    1
 four great kings               |    1
 fully Enlightened Ones         |    1
 houseless ones                 |    1
 khattiyas                      |    1
 lay men                        |    1
 male & female slaves           |    1
 male and female slaves         |    1
 male lay follower              |    1
 male lay-followers             |    1
 monastery attendants           |    1
 neutral ones                   |    1
 noble Ariya                    |    1
 noble one                      |    1
 noble-warriors                 |    1
 renunciant                     |    1
 retinue of Brahma              |    1
 royal messengers               |    1
 royal seers                    |    1
 timi                           |    1
 timingala                      |    1
 timirapingala                  |    1
(292 rows)

