 label  |             norm             |       example_surface        | freq 
 PERSON | one-well-gone                | One-Well-Gone                |    7
 PERSON | nigantha                     | Nigantha                     |    7
 PERSON | sangarava                    | Sangarava                    |    7
 PERSON | mogharaja                    | Mogharaja                    |    7
 PERSON | sivaka                       | Sivaka                       |    7
 PERSON | medakathalika                | Medakathalika                |    7
 PERSON | saariputta                   | Saariputta                   |    7
 PERSON | awakened                     | Awakened                     |    7
 PERSON | saccaka the nigantha-        | Saccaka the Nigaṇṭha-        |    7
 PERSON | maha cunda                   | Ven. Maha Cunda              |    7
 PERSON | consummate one               | Consummate One               |    7
 PERSON | punnika                      | Punnika                      |    7
 PERSON | supreme buddha               | Supreme Buddha               |    7
 LOC    | squirrels' sanctuary.        | Squirrels' Sanctuary.        |    7
 PERSON | kaccayana                    | Kaccayana                    |    7
 PERSON | ramagama                     | Ramagama                     |    7
 PERSON | patacara                     | Patacara                     |    6
 LOC    | ganges river                 | Ganges River                 |    6
 PERSON | sela                         | Sela                         |    6
 PERSON | sati, the fisherman's son    | Sāti, the Fisherman's Son    |    6
 PERSON | sanjaya                      | Sañjaya                      |    6
 PERSON | nibbana                      | Nibbana                      |    6
 PERSON | nalaka                       | Nalaka                       |    6
 PERSON | sarakaani                    | Sarakaani                    |    6
 PERSON | vasettha                     | Vasettha                     |    6
 PERSON | dabba mallaputta             | Dabba Mallaputta             |    6
 PERSON | upavana                      | Ven. Upavana                 |    6
 PERSON | anuraadha                    | Anuraadha                    |    6
 PERSON | rohini's father              | Rohini's father              |    6
 PERSON | udaya                        | Udaya                        |    6
 LOC    | wild mango grove             | Wild Mango Grove             |    6
 LOC    | isigili mountain             | Isigili mountain             |    6
 LOC    | tavatimsa                    | Tavatimsa                    |    6
 LOC    | yamuna                       | Yamuna                       |    6
 GPE    | sunaparanta                  | Sunaparanta                  |    6
 LOC    | bahuka river                 | Bahuka River                 |    6
 PERSON | sudassana                    | Sudassana                    |    6
 LOC    | great hell                   | Great Hell                   |    6
 PERSON | migara's mother              | Migara's Mother              |    6
 PERSON | kaligodha's son              | Kāḷigodhā's son              |    6
 PERSON | punabbasu                    | Punabbasu                    |    6
 LOC    | ghosita's monastery          | Ghosita's monastery          |    5
 PERSON | perfect one                  | Perfect One                  |    5
 PERSON | pilindavaccha                | Ven. Pilindavaccha           |    5
 PERSON | vessamitta                   | Vessamitta                   |    5
 GPE    | saavatthii                   | Saavatthii                   |    5
 PERSON | virulha                      | Virulha                      |    5
 PERSON | enlightened one              | Enlightened One              |    5
 PERSON | vesali                       | Vesālī                       |    5
 PERSON | devala                       | Devala                       |    5
 PERSON | nandiya                      | Nandiya                      |    5
 PERSON | nalanda                      | Nalanda                      |    5
