label,id,pattern_text,pattern_json
PERSON,,"/^(king|venerable|master|ven\.?)$/ {""IS_PUNCT"": true, ""OP"": ""?""}{?} {""IS_TITLE"": true, ""OP"": ""+""}{+}","[{""LOWER"": {""REGEX"": ""^(king|venerable|master|ven\\.?)$""}}, {""IS_PUNCT"": true, ""OP"": ""?""}, {""IS_TITLE"": true, ""OP"": ""+""}]"
PERSON,,the{?} /^arahants?$/,"[{""LOWER"": ""the"", ""OP"": ""?""}, {""LOWER"": {""REGEX"": ""^arahants?$""}, ""IS_TITLE"": true}]"
PERSON,,"/^(ven\.?|venerable)$/ {""IS_TITLE"": true} {""IS_TITLE"": true, ""OP"": ""?""}{?}","[{""LOWER"": {""REGEX"": ""^(ven\\.?|venerable)$""}}, {""IS_TITLE"": true}, {""IS_TITLE"": true, ""OP"": ""?""}]"
PERSON,paccekabuddhas,uparittha/tagarasikhi/yasassi/sudassana/piyadassi/gandhara/Pindola/Upasabha/Nitha/Tatha/Sutava/Bhavitatta/Sumbha/Subha/Methula/Atthama/Megha/Anigha/Sudatha,"[{""LOWER"": {""IN"": [""uparittha"", ""tagarasikhi"", ""yasassi"", ""sudassana"", ""piyadassi"", ""gandhara"", ""Pindola"", ""Upasabha"", ""Nitha"", ""Tatha"", ""Sutava"", ""Bhavitatta"", ""Sumbha"", ""Subha"", ""Methula"", ""Atthama"", ""Megha"", ""Anigha"", ""Sudatha""]}}]"
PERSON,,moliyasivaka,"[{""IS_TITLE"": true, ""LOWER"": ""moliyasivaka""}]"
PERSON,,janussonin,"[{""IS_TITLE"": true, ""LOWER"": ""janussonin""}]"
PERSON,,vyagghapajja,"[{""IS_TITLE"": true, ""LOWER"": ""vyagghapajja""}]"
PERSON,,citta,"[{""IS_TITLE"": true, ""LOWER"": ""citta""}]"
PERSON,,citta the householder,"[{""IS_TITLE"": true, ""LOWER"": ""citta the householder""}]"
PERSON,,vajjiya mahita,"[{""IS_TITLE"": true, ""LOWER"": ""vajjiya mahita""}]"
PERSON,,ugga,"[{""IS_TITLE"": true, ""LOWER"": ""ugga""}]"
PERSON,,vacchagotta,"[{""IS_TITLE"": true, ""LOWER"": ""vacchagotta""}]"
PERSON,vaccagotta_the_wanderer_all,"vaccagotta ,{?} the wanderer 's/’s{?}","[{""LOWER"": ""vaccagotta""}, {""ORTH"": "","", ""OP"": ""?""}, {""LOWER"": ""the""}, {""LOWER"": ""wanderer""}, {""ORTH"": {""IN"": [""'s"", ""’s""]}, ""OP"": ""?""}]"
PERSON,,migara,"[{""IS_TITLE"": true, ""LOWER"": ""migara""}]"
PERSON,,migara rohaneyya,"[{""IS_TITLE"": true, ""LOWER"": ""migara rohaneyya""}]"
PERSON,,devadatta,"[{""IS_TITLE"": true, ""LOWER"": ""devadatta""}]"
PERSON,,assalayana,"[{""IS_TITLE"": true, ""LOWER"": ""assalayana""}]"
PERSON,possessive_kin,"{""IS_TITLE"": true} 's mother/father/son/daughter/aunt/uncle/niece/nephew/wife/husband/sister/brother","[{""IS_TITLE"": true}, {""ORTH"": ""'s""}, {""LOWER"": {""IN"": [""mother"", ""father"", ""son"", ""daughter"", ""aunt"", ""uncle"", ""niece"", ""nephew"", ""wife"", ""husband"", ""sister"", ""brother""]}}]"
NORP,Sakyans,/sakyan(s)?|sākyan(s)?/,"[{""LOWER"": {""REGEX"": ""sakyan(s)?|sākyan(s)?""}}]"
NORP,Kurus,kurus,"[{""LOWER"": ""kurus""}]"
NORP,Sumbhas,/sumbha(s)?/,"[{""LOWER"": {""REGEX"": ""sumbha(s)?""}}]"
NORP,Angas,/anga(s)?/,"[{""LOWER"": {""REGEX"": ""anga(s)?""}}]"
NORP,Vajjis,/vajji(s)?/,"[{""LOWER"": {""REGEX"": ""vajji(s)?""}}]"
NORP,Licchavis,/licchavi(s)?/,"[{""LOWER"": {""REGEX"": ""licchavi(s)?""}}]"
NORP,Koliyans,/koliya(n|ns)?/,"[{""LOWER"": {""REGEX"": ""koliya(n|ns)?""}}]"
NORP,Kosalans,/kosalan(s)?/,"[{""LOWER"": {""REGEX"": ""kosalan(s)?""}}]"
NORP,Magadhans,/magadhan(s)?/,"[{""LOWER"": {""REGEX"": ""magadhan(s)?""}}]"
NORP,Uppercase Brahman,brahman/brāhmaṇa,"[{""IS_TITLE"": true, ""LOWER"": {""IN"": [""brahman"", ""brāhmaṇa""]}}]"
NORP,Brahmans,brahmans/brāhmaṇas,"[{""LOWER"": {""IN"": [""brahmans"", ""brāhmaṇas""]}}]"
NORP,,brahmin/brahmins/brahman/brahmans,"[{""LOWER"": {""IN"": [""brahmin"", ""brahmins"", ""brahman"", ""brahmans""]}}]"
NORP,Kshatriya,/kshatriyas|kṣatriyas/,"[{""LOWER"": {""REGEX"": ""kshatriyas|kṣatriyas""}}]"
NORP,kings,kings,"[{""LOWER"": ""kings""}]"
NORP,nobles,nobles,"[{""LOWER"": ""nobles""}]"
NORP,,noble ones,"[{""LOWER"": ""noble""}, {""LOWER"": ""ones""}]"
NORP,Bhikkhu_Sangha,bhikkhu saṅgha/sangha,"[{""IS_TITLE"": true, ""LOWER"": ""bhikkhu""}, {""IS_TITLE"": true, ""LOWER"": {""IN"": [""saṅgha"", ""sangha""]}}]"
NORP,Monks_cap,monks/bhikkhus,"[{""IS_SENT_START"": false, ""IS_TITLE"": true, ""LOWER"": {""IN"": [""monks"", ""bhikkhus""]}}]"
NORP,Recluses,recluses,"[{""LOWER"": ""recluses""}]"
NORP,Wanderers,wanderers,"[{""LOWER"": ""wanderers""}]"
NORP,Householders,householders,"[{""LOWER"": ""householders""}]"
NORP,Ajivikas,/ajivikas|ājīvikas/,"[{""LOWER"": {""REGEX"": ""ajivikas|ājīvikas""}}]"
NORP,Niganthas,/niganthas|nirgranthas/,"[{""LOWER"": {""REGEX"": ""niganthas|nirgranthas""}}]"
NORP,Kajjangalas,/^kajjangala(?:n|s|ns)?$/,"[{""LOWER"": {""REGEX"": ""^kajjangala(?:n|s|ns)?$""}}]"
NORP,Arhants,arahants,"[{""LOWER"": ""arahants""}]"
NORP,devetas,devatas,"[{""LOWER"": ""devatas""}]"
