        identifier        | nikaya | vagga | book_number  |                       title                       |                  subtitle                  
 snp.4.12.than.html       | KN     | Sn    | 4.12         | Cula-viyuha Sutta                                 | The Lesser Array
 snp.5.14.than.html       | KN     | Sn    | 5.14         | Posala-manava-puccha                              | Posala's Questions
 snp.3.01.than.html       | KN     | Sn    | 3.1          | Pabbaja Sutta                                     | The Going Forth
 snp.1.04.than.html       | KN     | Sn    | 1.4          | Kasi Bharadvaja Sutta                             | To the Plowing Bharadvaja
 snp.5.07.than.html       | KN     | Sn    | 5.7          | Nanda-manava-puccha                               | Nanda's Questions
 snp.4.01.than.html       | KN     | Sn    | 4.1          | Kama Sutta                                        | Sensual Pleasure
 snp.4.15.than.html       | KN     | Sn    | 4.15         | Attadanda Sutta                                   | The Rod Embraced
 snp.5.13.than.html       | KN     | Sn    | 5.13         | Udaya-manava-puccha                               | Udaya's Questions
 snp.3.02.irel.html       | KN     | Sn    | 3.2          | Padhana Sutta                                     | The Great Struggle
 snp.1.10.than.html       | KN     | Sn    | 1.10         | Alavaka Sutta                                     | To the Alavaka Yakkha
 snp.4.04.irel.html       | KN     | Sn    | 4.4          | Suddhatthaka Sutta                                | On Purity
 snp.5.16.irel.html       | KN     | Sn    | 5.16         | Pingiya-manava-puccha                             | Pingiya's Question
 snp.2.09.irel.html       | KN     | Sn    | 2.9          | Kimsila Sutta                                     | Right Conduct
 snp.2.04.piya.html       | KN     | Sn    | 2.4          | Maha-mangala Sutta                                | Blessings
 snp.1.07.piya.html       | KN     | Sn    | 1.7          | Vasala Sutta                                      | Discourse on Outcasts
 snp.2.10.irel.html       | KN     | Sn    | 2.10         | Utthana Sutta                                     | On Vigilance
 snp.5.01.than.html       | KN     | Sn    | 5.1          | Ajita-manava-puccha                               | Ajita's Questions
 snp.4.07.than.html       | KN     | Sn    | 4.7          | Tissa Metteyya Sutta                              | Tissa Metteyya
 snp.2.01.than.html       | KN     | Sn    | 2.1          | Ratana Sutta                                      | Treasures
 snp.1.02.than.html       | KN     | Sn    | 1.2          | Dhaniya Sutta                                     | Dhaniya the Cattleman
 snp.4.13.than.html       | KN     | Sn    | 4.13         | Maha-viyuha Sutta                                 | The Great Array
